ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,c1a,c1b,c1c,c2a,c2b,c2c,c3a,c3b,c3c,c4a,c4b,c4c,c5a,c5b,c5c,c6a,c6b,c6c,c7,c8,c9a,c9b,c9c,c11b,c11c,c1,c2,c3,c4,c5,c6,c9,c10,c11,24 data?,36 data?,45 data?,58 data?,80 data?,SpNum,H data?,J data?,K data?,HJKNum,c2 met?,c3 met?,c4 met?,c5 met?,c6 met?,c9 met?,c11 met?,sp rel?,HJK rel?,YSO Score,24 without 58/80,New name
7603,296.20884,-14.8765,16.77,0.04,-0.15,16.95,0.08,-0.14,16.31,0.15,0.01,14.64,0.11,0.16,9.47,0.05,0.267389278623712,296.208801,-14.876436,17.783,0.044,17.043,0.035,16.968,0.041,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,5,1,1,1,3,0,0,1,1,1,1,0,1,1,4,0,203
14594,296.20889,-14.88167,17.59,0.12,-0.31,17.68,0.07,0.13,15.21,0.1,0.01,13.65,0.13,0.32,7.7,0.05,0.243533782962187,296.208862,-14.881608,-9999,-9999,18.873,0.166,18.572,0.16,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5,1,0,1,2,1,1,1,1,1,1,1,1,1,6,0,204
1642,296.21008,-14.88141,15.42,0.05,0.17,15.22,0.08,0.13,12.77,0.05,-0.06,11.42,0.04,0.28,7.03,0.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,205
2461,296.21016,-14.88556,15.45,0.05,-0.06,15.66,0.05,0.18,15.06,0.07,-0.15,14.63,0.11,0.51,9.55,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,5,0,0,0,0,0,1,1,1,1,0,0,1,0,4,0,206
7796,296.21023,-14.88018,16.94,0.09,0.63,16.98,0.09,0.85,14.24,0.06,-0.12,12.73,0.05,0.01,7.08,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,207
7174,296.21066,-14.88047,16.93,0.06,0.6,16.88,0.11,0.76,14.67,0.11,0.02,13.26,0.09,0.33,6.94,0.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,208
3095,296.21079,-14.87629,16.02,0.07,-0.04,15.92,0.05,-0.02,15.28,0.08,0.13,14.83,0.07,1.02,8.48,0.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,5,0,0,0,0,0,1,1,1,1,0,0,1,0,4,0,209
13161,296.21168,-14.88365,17.91,0.09,0.26,17.57,0.07,0.13,16.09,0.12,-9999,13.69,0.11,-0.3,8.35,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,0,0,1,1,1,1,1,1,0,4,0,210
3833,296.21168,-14.87782,16.48,0.04,0,16.15,0.08,-0.11,13.73,0.06,-0.13,12.14,0.04,0.11,6.7,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,211
3940,296.21179,-14.72292,16.45,0.06,1.66,16.19,0.11,1.32,16.3,0.15,1.43,15.19,0.12,-9999,9.2,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,5,0,0,0,0,0,0,1,1,1,0,0,1,0,3,0,212
